term,recordings,weighted_freq
synchronicity,47,116
permission slip,45,96
definition,44,100
parallel reality,38,94
highest excitement,37,91
physical mind,33,73
higher mind,32,76
open contact,31,87
frequency,27,72
hybrid children,25,47
vibration,24,69
formula,23,68
essassani,22,30
belief system,20,57
disclosure,13,36
unconditional love,13,31
higher self,13,30
consciousness,12,33
interstellar alliance,12,22
contact fulcrum,12,13
oversoul,11,22
channeling,10,23
life path,9,27
passion,9,26
soul,9,24
vibrational frequency,9,23
channeling state,9,21
grays,9,17
sassani,9,15
anunnaki,9,14
pleiadians,9,13
fear-based beliefs,8,20
spirit guides,8,17
first contact specialist,8,15
ascension,8,14
soul family,8,13
akashic records,8,9
2027,7,20
orchestration,7,15
path of least resistance,7,14
law of attraction,7,14
negative belief,6,18
follow your passion,6,17
self-empowerment,6,15
positive state,6,15
physical reality,6,14
extraterrestrial,6,14
manifestation,6,13
altered state,6,11
first contact,6,10
telepathy,6,9
galactic federation,6,8
act on your passion,5,15
parallel realities,5,14
abundance,5,13
resonance,5,12
flow,5,10
reflection,5,10
galactic family,5,8
set point,5,7
multidimensional,5,7
fourth density,5,7
know thyself,5,7
gamma state,5,6
spirit,4,11
belief systems,4,11
state of being,4,11
alignment,4,10
contact,4,10
meditation,4,9
curiosity,4,9
telepathic connection,4,9
all that is,4,9
source,4,8
spirit team,4,8
channel,4,8
what you put out is what you get back,4,8
life review,4,7
collective consciousness,4,7
sirius,4,6
