video_id,title,content_type,channel,year,year_reliable,approx_words,archetype_cluster,url,top_topic,top_topic_pct
0htF1V0v6ec,"Bashar :: Breaking News - May 26, 2026",Full session (re-upload),Divine Insights,2026,False,28500,3,https://www.youtube.com/watch?v=0htF1V0v6ec,formula_excitement,17
1x7Z68os7HE,Bashar - Permission Slips,Clip / excerpt,巴夏听闻录,,False,2100,0,https://www.youtube.com/watch?v=1x7Z68os7HE,permission_slips_tools,70
2GVhU6BRVWY,"BASHAR'S NEWEST Warning: The Global STORM Before Our ""Graduation"" EVENT | Darryl Anka",Interview with Darryl Anka,Emilio Ortiz,2026,True,18500,3,https://www.youtube.com/watch?v=2GVhU6BRVWY,formula_excitement,12
4NGd9kqWM04,Bashar on Open Contact in 2026: These Are the ETs We'll Connect With | Darryl Anka,Interview with Darryl Anka,Wisdom From North Clips,2026,True,3200,1,https://www.youtube.com/watch?v=4NGd9kqWM04,et_contact_disclosure_2027,45
5Js8U9sJ5-8,Bashar :: The Deconstruction of the Physical Mind,Full session (re-upload),Divine Insights,,False,28500,3,https://www.youtube.com/watch?v=5Js8U9sJ5-8,beliefs_emotions_fear,15
5lOHuqDbpoc,It Has ALREADY Begun! Bashar's STUNNING Message You Need To LISTEN to TODAY! | Darryl Anka,Interview with Darryl Anka,Next Level Soul Podcast,2023,True,18500,3,https://www.youtube.com/watch?v=5lOHuqDbpoc,beliefs_emotions_fear,13
66D69G8uQ50,Bashar :: Believing is Seeing PM Session - Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,,False,280,4,https://www.youtube.com/watch?v=66D69G8uQ50,time_simultaneity_reincarnation,25
7WjydoNj7hE,Ep. 801 FADE to BLACK Jimmy Church w/ Darryl Anka : First Contact : Bashar V2 : LIVE,Interview with Darryl Anka,FADE TO BLACK Radio,2018,True,28500,3,https://www.youtube.com/watch?v=7WjydoNj7hE,parallel_realities_shifting,12
94agFEADfyk,"Bashar - Darryl Anka :: Knocking on Heaven's Door - April 27, 2026",Full session (re-upload),Suthisa Sonphlaeng,2026,True,28500,3,https://www.youtube.com/watch?v=94agFEADfyk,beliefs_emotions_fear,11
98KsASkO8Cs,The BASHAR MESSAGE That Left Darryl Anka SPEECHLESS,Clip / excerpt,Heart Coherence Collaborative,,False,680,2,https://www.youtube.com/watch?v=98KsASkO8Cs,essassani_hybrids_other_civilizations,40
9FrwPg8FYvM,"Bashar :: Sedona's Echo - September 14, 2025 | Bashar & DarrylAnka Full Episode",Full session (re-upload),Divine Insights,2025,True,28500,3,https://www.youtube.com/watch?v=9FrwPg8FYvM,et_contact_disclosure_2027,16
9Ij2AEoRwoM,The Secret That May Finally Be Revealed in 2027 | Darryl Anka,Clip / excerpt,Next Level Soul Clips,2027,True,1850,1,https://www.youtube.com/watch?v=9Ij2AEoRwoM,et_contact_disclosure_2027,61
BaN26a0SbLQ,Bashar :: The Silent Season - Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,2025,True,1200,3,https://www.youtube.com/watch?v=BaN26a0SbLQ,et_contact_disclosure_2027,18
CJb6grCrMhY,BASHAR - What is the HIGHER SELF - HIGHER MIND?,Clip / excerpt,QUANTUM HEALING PATH,,False,4200,4,https://www.youtube.com/watch?v=CJb6grCrMhY,physical_vs_higher_mind,65
D8El0NsIF04,Bashar Darryl Anka | ECHOES OF SEDONA THE CELESTIAL REVELATION THAT WILL CHANGE HUMANITY FOREVER,Clip / excerpt,Divine Insights,2024,True,3200,3,https://www.youtube.com/watch?v=D8El0NsIF04,et_contact_disclosure_2027,25
DvWNnqnBAjc,"Bashar :: Emersion Conference - May 26, 2026",Full session (re-upload),Divine Insights,2026,True,32500,3,https://www.youtube.com/watch?v=DvWNnqnBAjc,beliefs_emotions_fear,17
Dw9XHTMrgBE,"Bashar:: Levels of Mastery -September 24, 2025 | Bashar- Darryl Anka 2025 Full Episode",Full session (re-upload),Divine Insights,2025,True,32000,3,https://www.youtube.com/watch?v=Dw9XHTMrgBE,formula_excitement,15
EHK_mwdk3kM,Bashar :: Dark Skies and Shining Stars - Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,,False,280,2,https://www.youtube.com/watch?v=EHK_mwdk3kM,consciousness_oversoul_higherself,20
ETuHIzyRhyY,"BASHAR'S URGENT Prediction: In 2027, HUMANITY SOUL Will Change FOREVER! | Darryl Anka",Interview with Darryl Anka,Next Level Soul Podcast,2025,True,18500,3,https://www.youtube.com/watch?v=ETuHIzyRhyY,beliefs_emotions_fear,16
E_cPno64Z-Q,Bashar Reveals The Complete History of Atlantis & Lemuria (Channeled by Darryl Anka),Full session (re-upload),Divine Light Vibes,,False,18500,3,https://www.youtube.com/watch?v=E_cPno64Z-Q,ancient_history_atlantis_orion_sirius,19
Fp1YFz-8d4Y,Bashar - Darryl Anka: The Hybrid Children Are ALREADY HERE – and They're Learning to Live Among Us!,Full session (re-upload),Cosmic Soul,,False,8500,3,https://www.youtube.com/watch?v=Fp1YFz-8d4Y,essassani_hybrids_other_civilizations,23
HoYNcoMTk-4,Bashar Declares: CONTACT Is IMMINENT & ETs Are ALREADY Here! (Darryl Anka),Interview with Darryl Anka,Michael Sandler Inspire Nation,2025,True,18500,3,https://www.youtube.com/watch?v=HoYNcoMTk-4,et_contact_disclosure_2027,16
IKJzZ-KVPdQ,"Bashar - Darryl Anka :: A Step Along The Way - May 30, 2026",Full session (re-upload),Divine Insights,2026,True,28500,3,https://www.youtube.com/watch?v=IKJzZ-KVPdQ,beliefs_emotions_fear,15
IKYfZdjv3aE,Bashar & First Contact with Darryl Anka,Interview with Darryl Anka,New Thinking Allowed with Jeffrey Mishlove,2025,True,18500,3,https://www.youtube.com/watch?v=IKYfZdjv3aE,et_contact_disclosure_2027,15
IuO0mjva9ls,Bashar - The 5 Universal Laws (Darryl Anka),Clip / excerpt,Love Is The Way,,False,3800,4,https://www.youtube.com/watch?v=IuO0mjva9ls,parallel_realities_shifting,25
JSwqz_ZhH_I,Bashar :: The Five Hybrid Races - Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,,False,1200,0,https://www.youtube.com/watch?v=JSwqz_ZhH_I,beliefs_emotions_fear,34
OzkviF1GCFc,Bashar: 2027 The Year Everything Changes For Humanity Collective Manifestation | Bashar Darryl Anka,Full session (re-upload),Divine Insights,2026,True,11500,3,https://www.youtube.com/watch?v=OzkviF1GCFc,beliefs_emotions_fear,15
PjIvEohms5I,"Bashar, ET Contact, and the Future of Humanity | Darryl Anka Interview",Interview with Darryl Anka,Antoinette & Friends,2025,True,18500,3,https://www.youtube.com/watch?v=PjIvEohms5I,formula_excitement,12
Q9X_NGyYN3M,Bashar :: The Two Paths To AI (Artificial Intelligence) - Highlights,Official highlight clip,Bashar Channeled by Darryl Anka,,False,450,4,https://www.youtube.com/watch?v=Q9X_NGyYN3M,consciousness_oversoul_higherself,40
QBk2MQ1MVZo,"Aliens Are Making Contact 3,000 Years Ahead, Warning We're Making BIG Mistakes. Darryl Anka | Bashar",Interview with Darryl Anka,Dr. Mayim Bialik,2026,True,32500,3,https://www.youtube.com/watch?v=QBk2MQ1MVZo,et_contact_disclosure_2027,14
Rcjd1TkZUMY,"Bashar :: 1-3-5-7-11-Refresher - October 1st, 2025",Full session (re-upload),Divine Insights,2025,False,68000,3,https://www.youtube.com/watch?v=Rcjd1TkZUMY,beliefs_emotions_fear,12
S3Xw09ZE2Dg,Bashar Reveals Why Money is NOT REAL & How to Attract It Effortlessly! (Channeled by Darryl Anka),Clip / excerpt,Path of Knowledge,,False,2100,0,https://www.youtube.com/watch?v=S3Xw09ZE2Dg,beliefs_emotions_fear,40
SBRcXicYs0I,"Bashar - Darryl Anka :: The Precursors - June 6, 2026",Full session (re-upload),Divine Insights,2026,True,28500,3,https://www.youtube.com/watch?v=SBRcXicYs0I,beliefs_emotions_fear,14
