date,title,event_or_location,type,description,source_url
1984-06-25,You Always Have Free Will,,live session,"Early-era Bashar channeling session (audio recording) titled 'You Always Have Free Will', dated 1984-06-25. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1984-06-25-you-always-have-free-will
1984-07-30,Navigation Limitation,,live session,"Early-era Bashar channeling session (audio recording) titled 'Navigation Limitation', dated 1984-07-30. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1984-07-30-navigation-limitation
1984-08-13,Third Eye,,live session,"Early-era Bashar channeling session (audio recording) titled 'Third Eye', dated 1984-08-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1984-08-13-third-eye
1985-01-27,Self Created Journey,,live session,"Early-era Bashar channeling session (audio recording) titled 'Self Created Journey', dated 1985-01-27. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-self-created-journey-1985-01-27
1985-02-03,Expression And Vibration Recognition,,live session,"Early-era Bashar channeling session (audio recording) titled 'Expression And Vibration Recognition', dated 1985-02-03. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-02-03-expression-and-vibration-recognition
1985-02-10,Creators,,live session,"Early-era Bashar channeling session (audio recording) titled 'Creators', dated 1985-02-10. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-02-10-creators
1985-02-17,Personal Identity,,live session,"Early-era Bashar channeling session (audio recording) titled 'Personal Identity', dated 1985-02-17. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-02-17-personal-identity
1985-03-03,Multidimensionality,,live session,"Early-era Bashar channeling session (audio recording) titled 'Multidimensionality', dated 1985-03-03. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-03-03-multidimensionality
1985-03-17,Action Reaction,,live session,"Early-era Bashar channeling session (audio recording) titled 'Action Reaction', dated 1985-03-17. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-03-17-action-reaction
1985-03-24,Introducing The Association Of Worlds,,live session,"Early-era Bashar channeling session (audio recording) titled 'Introducing The Association Of Worlds', dated 1985-03-24. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-03-24-introducing-the-association-of-worlds
1985-03-25,Orion And The Black League,,live session,"Early-era Bashar channeling session (audio recording) titled 'Orion And The Black League', dated 1985-03-25. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-03-25-orion-and-the-black-league
1985-03-31,Orion Follow Up,,live session,"Early-era Bashar channeling session (audio recording) titled 'Orion Follow Up', dated 1985-03-31. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-03-31-orion-follow-up
1985-04-14,Equality Validity,,live session,"Early-era Bashar channeling session (audio recording) titled 'Equality Validity', dated 1985-04-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-04-14-equality-validity
1985-04-24,All Teachers All Students,,live session,"Early-era Bashar channeling session (audio recording) titled 'All Teachers All Students', dated 1985-04-24. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-04-24-all-teachers-all-students
1985-05-01,Freedom Of Choice,,live session,"Early-era Bashar channeling session (audio recording) titled 'Freedom Of Choice', dated 1985-05-01. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-05-01-freedom-of-choice
1985-05-15,Animal Guides,,live session,"Early-era Bashar channeling session (audio recording) titled 'Animal Guides', dated 1985-05-15. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-05-15-animal-guides
1985-05-22,Transitions,,live session,"Early-era Bashar channeling session (audio recording) titled 'Transitions', dated 1985-05-22. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-05-22-transitions
1985-06-05,ET Contacts,,live session,"Early-era Bashar channeling session (audio recording) titled 'ET Contacts', dated 1985-06-05. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-06-05-et-contacts
1985-07-17,Illuminati,,live session,"Early-era Bashar channeling session (audio recording) titled 'Illuminati', dated 1985-07-17. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-07-17-illuminati
1985-07-24,Earth History,,live session,"Early-era Bashar channeling session (audio recording) titled 'Earth History', dated 1985-07-24. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-07-24-earth-history
1985-07-31,Escalation Acceleration,,live session,"Early-era Bashar channeling session (audio recording) titled 'Escalation Acceleration', dated 1985-07-31. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-07-31-escalation-acceleration
1985-08-07,Polarity History And Healing,,live session,"Early-era Bashar channeling session (audio recording) titled 'Polarity History And Healing', dated 1985-08-07. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-08-07-polarity-history-and-healing
1985-08-14,Walk Ins,,live session,"Early-era Bashar channeling session (audio recording) titled 'Walk Ins', dated 1985-08-14. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-08-14-walk-ins
1985-08-21,Mutability,,live session,"Early-era Bashar channeling session (audio recording) titled 'Mutability', dated 1985-08-21. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-08-21-mutability
1985-08-28,Suicide And Excitement,,live session,"Early-era Bashar channeling session (audio recording) titled 'Suicide And Excitement', dated 1985-08-28. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-08-28-suicide-and-excitement
1985-09-04,Hummingbirds And Rainbows,,live session,"Early-era Bashar channeling session (audio recording) titled 'Hummingbirds And Rainbows', dated 1985-09-04. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-09-04-hummingbirds-and-rainbows
1985-09-04,Willingness Knowingness,,live session,"Early-era Bashar channeling session (audio recording) titled 'Willingness Knowingness', dated 1985-09-04. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-09-04-willingness-knowingness
1985-09-25,Consciousness,,live session,"Early-era Bashar channeling session (audio recording) titled 'Consciousness', dated 1985-09-25. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-09-25-consciousness
1985-10-09,Past Lives,,live session,"Early-era Bashar channeling session (audio recording) titled 'Past Lives', dated 1985-10-09. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-10-09-past-lives
1985-10-16,Mechanics Of Personality,,live session,"Early-era Bashar channeling session (audio recording) titled 'Mechanics Of Personality', dated 1985-10-16. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-10-16-mechanics-of-personality
1985-10-23,Decisions All About Spaceships,,live session,"Early-era Bashar channeling session (audio recording) titled 'Decisions All About Spaceships', dated 1985-10-23. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-10-23-decisions-all-about-spaceships
1985-10-30,Sexuality,,live session,"Early-era Bashar channeling session (audio recording) titled 'Sexuality', dated 1985-10-30. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-sexuality-1985-10-30
1985-11-06,Infinite Action,,live session,"Early-era Bashar channeling session (audio recording) titled 'Infinite Action', dated 1985-11-06. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-11-06-infinite-action
1985-11-13,The Template,,live session,"Early-era Bashar channeling session (audio recording) titled 'The Template', dated 1985-11-13. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-11-13-the-template
1985-11-20,Sharing Forever,,live session,"Early-era Bashar channeling session (audio recording) titled 'Sharing Forever', dated 1985-11-20. Catalogued from a fan-archived recording on archive.org; no official synopsis was located on a fetched page, so only the title and date are recorded here.",https://archive.org/details/bashar-1985-11-20-sharing-forever
